QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-18,1642539600,15.0,0.53473,0.00394,3.94973,-1.20662,1.02085, 0.102860, 43.000000, 43.230000, 1 x 2, 42.400000, 46.800000,4785.0, 36.800000, 37.500000, 15 x 9, 40.320000,-0.46666,0.00393,3.95386,-1.40841,-0.97925, 0.102930, 29.000000,10.6,0.002,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-18,1642539600,15.0,0.51458,0.00398,3.9627,-1.19593,0.98946, 0.101780, 20.000000, 41.810000, 1 x 2, 39.300000, 43.600000,4790.0, 38.200000, 38.900000, 14 x 13, 41.000000,-0.48582,0.004,3.96492,-1.38308,-1.02049, 0.099790, 96.000000,5.6,0.001,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-18,1642539600,15.0,0.49498,0.00392,3.96473,-1.23416,0.9569, 0.104170, 15.000000, 39.450000, 22 x 8, 39.700000, 40.300000,4795.0, 40.600000, 41.300000, 14 x 8, 42.200000,-0.50656,0.00399,3.9663,-1.38391,-1.06231, 0.099430, 16.000000,0.6,0.0,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-18,1642539600,15.0,0.4749,0.00398,3.95783,-1.19558,0.92167, 0.101010, 40.000000, 37.230000, 1 x 30, 33.300000, 39.500000,4800.0, 42.600000, 46.800000, 2 x 1, 46.270000,-0.52542,0.00393,3.95832,-1.42156,-1.10422, 0.102660, 4.000000,4.4,0.001,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-18,1642539600,15.0,0.45433,0.00392,3.9406,-1.19636,0.88755, 0.101640, 6.000000, 31.050000, 8 x 9, 33.900000, 34.500000,4805.0, 44.800000, 45.600000, 8 x 23, 50.660000,-0.54841,0.00407,3.93825,-1.34817,-1.15067, 0.096520, 2.000000,9.4,0.002,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.54834,0.00353,4.0583,-1.27122,1.11179, 0.111230, 10.000000, 51.010000, 19 x 15, 51.400000, 52.800000,4780.0, 37.700000, 38.400000, 18 x 9, 52.950000,-0.45073,0.00363,4.0608,-1.41307,-1.00665, 0.106920, 3.000000,15.6,0.003,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.53178,0.00349,4.07713,-1.27468,1.08225, 0.111600, 9.000000, 49.030000, 13 x 19, 48.900000, 49.600000,4785.0, 39.600000, 40.100000, 7 x 8, 49.400000,-0.4682,0.00362,4.07915,-1.40648,-1.04722, 0.106090, 2.000000,10.6,0.002,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.51342,0.00362,4.08724,-1.24718,1.05165, 0.108990, 6.000000, 45.400000, 1 x 1, 41.800000, 49.300000,4790.0, 40.700000, 41.600000, 22 x 21, 43.370000,-0.48687,0.00373,4.08927,-1.37897,-1.08751, 0.103500, 26.000000,5.6,0.001,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.4958,0.0037,4.08934,-1.23387,1.01888, 0.107390, 9.000000, 50.690000, 1 x 1, 38.700000, 46.300000,4795.0, 43.200000, 43.600000, 7 x 7, 54.900000,-0.50597,0.00377,4.09025,-1.37513,-1.13001, 0.102570, 12.000000,0.6,0.0,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.47605,0.00375,4.0831,-1.19618,0.98356, 0.104470, 1.000000, 38.850000, 1 x 30, 35.800000, 41.900000,4800.0, 45.400000, 46.100000, 24 x 8, 47.420000,-0.52511,0.00385,4.08296,-1.36817,-1.17319, 0.101460, 6.000000,4.4,0.001,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-19,1642626000,16.0,0.45761,0.00376,4.06725,-1.19864,0.94933, 0.103840, 1.000000, 49.550000, 24 x 29, 36.300000, 37.100000,4805.0, 47.400000, 48.100000, 13 x 7, 53.700000,-0.5453,0.00381,4.06497,-1.34418,-1.21811, 0.100380, 8.000000,9.4,0.002,1M
1641243600, 2022-01-03 16:00, 2022-01-03,16.0,4795.57, 2022-01-21,1642798800,18.0,0.54511,0.00325,4.29876,-1.23442,1.23586, 0.114860, 123.000000, 56.500000, 100 x 45, 53.400000, 58.300000,4780.0, 41.700000, 42.300000, 319 x 45, 45.450000,-0.45519,0.0033,4.30087,-1.3713,-1.13878, 0.110370, 75.000000,15.6,0.003,1M
