QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-17,1631908800,16.0,0.54551,0.00447,3.83742,-1.07172,1.11288, 0.091570, 14.000000,40.33, 120 x 120,40.1,40.7,4515.0,32.9,35.3, 100 x 175,32.34,-0.45666,0.0041,3.84074,-1.16511,-0.94149, 0.100300, 64.000000,9.4,0.002,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-17,1631908800,16.0,0.52363,0.0045,3.85572,-1.0618,1.0687, 0.090990, 174.000000,37.5, 160 x 153,36.99,37.51,4520.0,36.2,36.8, 240 x 78,36.5,-0.47757,0.00409,3.85641,-1.17065,-0.98128, 0.100360, 203.000000,4.4,0.001,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-17,1631908800,16.0,0.50097,0.0046,3.86269,-1.04618,1.02289, 0.089220, ,33.7, 150 x 236,33.91,34.39,4525.0,38.1,38.79, 75 x 225,39.0,-0.49839,0.00426,3.86269,-1.15687,-1.02162, 0.098980, ,0.6,0.0,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-17,1631908800,16.0,0.47787,0.00466,3.8563,-1.02574,0.97492, 0.087460, ,31.1, 256 x 157,30.9,31.4,4530.0,40.31,40.8, 45 x 120,40.0,-0.51956,0.00417,3.85863,-1.14006,-1.06205, 0.097430, ,5.6,0.001,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-17,1631908800,16.0,0.45321,0.00474,3.83667,-1.00501,0.92608, 0.085880, ,28.0, 300 x 4,28.09,28.6,4535.0,42.31,43.09, 45 x 45,39.75,-0.54091,0.00428,3.84194,-1.11906,-1.10267, 0.096440, ,10.6,0.002,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-20,1632168000,19.0,0.54217,0.00406,4.17092,-0.99866,1.30188, 0.093300, 22.000000,51.5, 30 x 49,43.7,44.2,4515.0,37.8,38.31, 8 x 8,42.07,-0.46059,0.00366,4.17373,-1.08796,-1.11867, 0.101360, 0.000000,9.4,0.002,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-20,1632168000,19.0,0.5227,0.00418,4.18869,-0.98678,1.25441, 0.091970, 13.000000,44.38, 8 x 38,40.5,40.89,4520.0,39.6,40.1, 8 x 8,39.9,-0.47841,0.00376,4.18859,-1.07646,-1.16081, 0.100390, 12.000000,4.4,0.001,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-20,1632168000,19.0,0.50154,0.00418,4.19532,-0.97696,1.20598, 0.090800, 31.000000,37.6, 47 x 31,37.49,37.99,4525.0,41.5,42.61, 15 x 9,39.62,-0.49798,0.00385,4.19488,-1.07125,-1.20476, 0.099740, 45.000000,0.6,0.0,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-20,1632168000,19.0,0.48049,0.00419,4.19039,-0.96188,1.1551, 0.089570, 39.000000,37.25, 8 x 9,34.21,35.4,4530.0,43.0,43.79, 2 x 2,42.23,-0.51764,0.00397,4.19099,-1.0376,-1.24917, 0.096650, 2.000000,5.6,0.001,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-20,1632168000,19.0,0.45871,0.00433,4.17258,-0.93978,1.10273, 0.088090, 11.000000,33.51, 21 x 41,31.61,31.99,4535.0,45.2,46.9, 8 x 18,45.7,-0.53755,0.00388,4.17674,-1.03317,-1.29209, 0.096550, 1.000000,10.6,0.002,1M
1630526400, 2021-09-01 16:00, 2021-09-01,16.0,4524.37, 2021-09-22,1632340800,21.0,0.53845,0.00356,4.38175,-1.03276,1.41961, 0.100910, 0.000000,50.33, 34 x 30,49.11,49.6,4515.0,42.41,43.8, 8 x 8,46.9,-0.46367,0.00335,4.38375,-1.10476,-1.24188, 0.108170, 0.000000,9.4,0.002,1M
