QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.54658,0.00335,3.71996,-1.42541,1.07413, 0.126460, 0.000000,58.49, 35 x 36,53.3,54.0,4375.0,43.5,45.8, 100 x 100,46.1,-0.45533,0.00316,3.72223,-1.52647,-0.9139, 0.135660, 65.000000,12.3,0.003,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.53061,0.0034,3.73504,-1.41738,1.04228, 0.124950, 0.000000,58.7, 30 x 44,50.21,50.91,4380.0,46.2,46.7, 8 x 8,47.2,-0.47118,0.00318,3.7357,-1.51423,-0.94332, 0.134030, 80.000000,7.3,0.002,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.51374,0.00346,3.74405,-1.3931,1.01037, 0.122770, 4.000000,47.7, 30 x 40,46.7,47.41,4385.0,47.8,48.4, 8 x 8,48.1,-0.48709,0.00327,3.74369,-1.49353,-0.97312, 0.131720, 11.000000,2.3,0.001,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.49614,0.00352,3.74608,-1.37741,0.97576, 0.121480, 5.000000,45.97, 38 x 36,43.7,44.4,4390.0,49.7,50.19, 8 x 8,48.5,-0.50294,0.00325,3.7459,-1.47426,-1.00429, 0.129660, 14.000000,2.7,0.001,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.47754,0.00359,3.7404,-1.35288,0.94103, 0.118980, 26.000000,40.5, 8 x 38,40.7,41.2,4395.0,50.71,53.3, 100 x 100,51.8,-0.52015,0.0033,3.74153,-1.45466,-1.03466, 0.127790, 8.000000,7.7,0.002,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-18,1629316800,16.0,0.45874,0.00362,3.72575,-1.32274,0.90546, 0.117440, 27.000000,37.48, 10 x 10,37.61,38.11,4400.0,53.5,54.2, 8 x 8,47.43,-0.53772,0.00332,3.72931,-1.4239,-1.06678, 0.126380, 73.000000,12.7,0.003,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-20,1629489600,18.0,0.54395,0.00312,3.93898,-1.36202,1.18515, 0.128580, 154.000000,60.68, 100 x 100,55.89,58.19,4375.0,48.0,48.81, 45 x 45,49.17,-0.45826,0.00292,3.94201,-1.46589,-1.05912, 0.136980, 875.000000,12.3,0.003,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-20,1629489600,18.0,0.5281,0.00317,3.95305,-1.34395,1.15172, 0.126560, 67.000000,62.2, 45 x 45,53.2,54.0,4380.0,49.69,50.5, 45 x 45,51.24,-0.47262,0.00293,3.95405,-1.45128,-1.09303, 0.135490, 260.000000,7.3,0.002,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-20,1629489600,18.0,0.51227,0.00321,3.96108,-1.32938,1.1177, 0.124850, 10.000000,66.8, 222 x 263,50.0,50.71,4385.0,50.31,53.11, 145 x 145,52.94,-0.48792,0.00305,3.96127,-1.4322,-1.12858, 0.133650, 53.000000,2.3,0.001,1M
1627934400, 2021-08-02 16:00, 2021-08-02,16.0,4387.3, 2021-08-20,1629489600,18.0,0.49626,0.00329,3.96259,-1.31207,1.08213, 0.122380, 49.000000,49.9, 45 x 45,46.89,47.6,4390.0,53.2,54.0, 45 x 45,54.0,-0.50259,0.00308,3.96335,-1.41522,-1.16532, 0.131030, 103.000000,2.7,0.001,1M
