QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-18,1689710400,15.0,0.53824,0.00452,3.66924,-1.35984,1.01742, 0.094890, 20.000000,38.78, 15 x 15,38.4,39.3,4455.0,31.7,32.6, 25 x 18,32.44,-0.46761,0.0046,3.66032,-0.95186,-0.81427, 0.096710, 31.000000,0.6,0.0,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-18,1689710400,15.0,0.51552,0.00456,3.68348,-1.34685,0.9748, 0.094460, 43.000000,36.01, 15 x 15,35.6,36.5,4460.0,33.9,34.7, 17 x 17,34.62,-0.48979,0.00466,3.6686,-0.93788,-0.84437, 0.096230, 2.000000,4.4,0.001,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-18,1689710400,15.0,0.49288,0.00464,3.68616,-1.3308,0.93194, 0.093910, 21.000000,33.29, 16 x 16,32.9,33.8,4465.0,36.2,37.0, 16 x 16,0.0,-0.51394,0.00471,3.66486,-0.92158,-0.87246, 0.095090, ,9.4,0.002,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-18,1689710400,15.0,0.46986,0.00457,3.67573,-1.31286,0.88848, 0.092950, 3.000000,30.18, 17 x 17,30.4,31.3,4470.0,38.6,39.5, 22 x 15,0.0,-0.53769,0.00472,3.64779,-0.90237,-0.8999, 0.094710, ,14.4,0.003,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-19,1689796800,16.0,0.5398,0.00433,3.78226,-1.35228,1.08451, 0.096080, 3.000000,39.2, 15 x 15,40.5,41.4,4455.0,33.2,34.1, 25 x 18,35.4,-0.46654,0.00442,3.77219,-0.93159,-0.86013, 0.098890, 1.000000,0.6,0.0,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-19,1689796800,16.0,0.51844,0.00431,3.79763,-1.33992,1.04205, 0.096230, 5.000000,37.31, 15 x 22,37.7,38.6,4460.0,35.3,36.2, 24 x 17,37.4,-0.48777,0.00442,3.78105,-0.91723,-0.88951, 0.098130, 1.000000,4.4,0.001,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-19,1689796800,16.0,0.49678,0.00434,3.80112,-1.32563,0.99778, 0.095790, 1.000000,11.9, 16 x 23,35.0,35.9,4465.0,37.6,38.5, 23 x 16,0.0,-0.51052,0.00449,3.77829,-0.90182,-0.91864, 0.097540, ,9.4,0.002,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-19,1689796800,16.0,0.47415,0.00438,3.79421,-1.30639,0.95439, 0.094540, 25.000000,33.2, 17 x 17,32.4,33.3,4470.0,40.0,40.9, 22 x 15,40.48,-0.53307,0.00451,3.76317,-0.88309,-0.94535, 0.096020, 9.000000,14.4,0.003,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-19,1689796800,16.0,0.45289,0.00437,3.77514,-1.28479,0.91062, 0.093950, 3.000000,29.95, 30 x 30,30.0,30.8,4475.0,42.6,43.7, 7 x 7,43.05,-0.55612,0.00457,3.7359,-0.86683,-0.9698, 0.096660, 16.000000,19.4,0.004,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-20,1689883200,17.0,0.54611,0.00408,3.88841,-1.37913,1.16008, 0.098070, 1.000000,43.68, 30 x 7,43.0,44.3,4455.0,34.3,35.2, 18 x 18,35.07,-0.46277,0.00421,3.87384,-0.89268,-0.8874, 0.100150, 1.000000,0.6,0.0,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-20,1689883200,17.0,0.52529,0.00415,3.90621,-1.36783,1.11686, 0.098020, 10.000000,38.61, 15 x 15,40.4,41.3,4460.0,36.4,37.3, 17 x 17,36.95,-0.48393,0.00428,3.88387,-0.87914,-0.91499, 0.099230, 1.000000,4.4,0.001,1M
1688414400, 2023-07-03 16:00, 2023-07-03,16.0,4455.59, 2023-07-20,1689883200,17.0,0.50464,0.00421,3.91428,-1.35422,1.07334, 0.097170, ,0.0, 16 x 16,37.7,38.6,4465.0,38.7,39.6, 16 x 16,0.0,-0.50514,0.00437,3.88325,-0.86619,-0.94262, 0.099260, ,9.4,0.002,1M
