QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.53675,0.0028,3.3122,-1.66649,0.89231, 0.170320, 3.000000,65.1, 4 x 5,61.0,62.7,3890.0,55.1,55.89, 33 x 37,53.4,-0.46513,0.0026,3.31369,-1.87906,-0.85354, 0.181720, 1.000000,11.8,0.003,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.52256,0.00286,3.32038,-1.64571,0.87225, 0.167250, 13.000000,60.32, 33 x 38,58.01,58.8,3895.0,56.91,57.61, 8 x 8,53.84,-0.47831,0.00264,3.32111,-1.86311,-0.87767, 0.179660, 25.000000,6.8,0.002,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.50804,0.00293,3.32538,-1.63914,0.85047, 0.166120, 30.000000,60.7, 40 x 9,55.2,55.91,3900.0,58.8,59.49, 17 x 16,56.9,-0.49093,0.00268,3.32554,-1.84979,-0.90301, 0.178050, 16.000000,1.8,0.0,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.49369,0.00293,3.32539,-1.61712,0.82857, 0.164540, 7.000000,59.03, 1 x 2,52.1,52.6,3905.0,60.8,61.51, 17 x 16,60.77,-0.50538,0.00272,3.32512,-1.8337,-0.92815, 0.176240, 5.000000,3.2,0.001,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.47878,0.00299,3.32111,-1.59483,0.80651, 0.161690, 12.000000,58.18, 9 x 8,49.0,49.6,3910.0,62.81,63.59, 17 x 16,62.77,-0.5193,0.00273,3.32208,-1.81484,-0.95394, 0.175040, 10.000000,8.2,0.002,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-17,1616011200,15.96,0.46359,0.00292,3.31255,-1.57909,0.78319, 0.161270, 8.000000,49.54, 11 x 1,46.3,46.91,3915.0,64.1,66.29, 2 x 4,60.8,-0.5331,0.0028,3.31452,-1.7909,-0.97987, 0.172340, 7.000000,13.2,0.003,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-19,1616184000,17.96,0.54823,0.00265,3.49355,-1.57587,1.0165, 0.171560, ,68.5, 227 x 178,67.61,68.51,3885.0,57.19,57.8, 162 x 45,58.5,-0.45456,0.00246,3.49633,-1.78783,-0.93548, 0.184900, ,16.8,0.004,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-19,1616184000,17.96,0.53458,0.0026,3.50582,-1.61536,0.99392, 0.174170, ,70.5, 227 x 46,66.3,67.0,3890.0,58.79,59.5, 261 x 210,56.5,-0.4661,0.00242,3.50721,-1.77486,-0.95984, 0.182810, ,11.8,0.003,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-19,1616184000,17.96,0.52199,0.00271,3.51437,-1.55963,0.97383, 0.167840, ,65.7, 141 x 335,61.5,62.21,3895.0,60.5,61.3, 272 x 199,62.8,-0.47855,0.00252,3.51466,-1.7614,-0.986, 0.180980, ,6.8,0.002,1M
1614632400, 2021-03-01 16:00, 2021-03-01,16.0,3901.84, 2021-03-19,1616184000,17.96,0.50826,0.00274,3.51834,-1.54943,0.95217, 0.166440, ,59.0, 149 x 93,58.51,59.09,3900.0,62.51,63.29, 235 x 208,63.16,-0.49126,0.00257,3.51846,-1.75105,-1.01177, 0.179400, ,1.8,0.0,1M
