QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-16,1692216000,15.0,0.53118, 0.003800, 3.772820, -1.501800, 1.028950, 0.109140, 14.000000, 44.900000, 7 x 7, 44.800000, 45.200000,4575.0, 35.700000, 36.000000, 7 x 13, 35.480000, -0.468920, 0.004150, 3.768850, -1.112620, -0.869770, 0.103570, 23.000000,1.9,0.0,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-16,1692216000,15.0,0.51277, 0.003830, 3.782720, -1.490960, 0.992980, 0.108130, 45.000000, 43.380000, 23 x 7, 41.900000, 42.400000,4580.0, 37.800000, 38.100000, 7 x 13, 41.720000, -0.489920, 0.004200, 3.777600, -1.099850, -0.901330, 0.102400, 2.000000,3.1,0.001,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-16,1692216000,15.0,0.49308, 0.003880, 3.784830, -1.483170, 0.955190, 0.108420, 1.000000, 40.500000, 7 x 7, 39.500000, 39.800000,4585.0, 40.200000, 40.600000, 7 x 7, 38.200000, -0.511150, 0.004180, 3.775950, -1.090680, -0.932320, 0.102690, 5.000000,8.1,0.002,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-16,1692216000,15.0,0.47344, 0.003900, 3.776730, -1.463220, 0.917550, 0.107270, 22.000000, 37.520000, 7 x 7, 36.800000, 37.100000,4590.0, 42.300000, 42.600000, 7 x 5, 41.880000, -0.532250, 0.004260, 3.763780, -1.061280, -0.961640, 0.101390, 1.000000,13.1,0.003,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-16,1692216000,15.0,0.45385, 0.003890, 3.760690, -1.443500, 0.880210, 0.106470, 3.000000, 36.600000, 7 x 13, 34.300000, 34.600000,4595.0, 44.800000, 45.100000, 7 x 7, 42.900000, -0.554580, 0.004250, 3.739680, -1.040190, -0.989740, 0.100080, 2.000000,18.1,0.004,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-17,1692302400,16.0,0.53588, 0.003660, 3.888000, -1.520700, 1.101710, 0.111420, 2.000000, 62.200000, 27 x 7, 47.700000, 48.100000,4575.0, 37.100000, 37.500000, 8 x 39, 36.280000, -0.466370, 0.003910, 3.882150, -1.072220, -0.907510, 0.105880, 16.000000,1.9,0.0,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-17,1692302400,16.0,0.51719, 0.003700, 3.900160, -1.499480, 1.065200, 0.109450, 5.000000, 47.770000, 7 x 7, 44.500000, 44.900000,4580.0, 39.200000, 39.600000, 7 x 30, 42.120000, -0.486000, 0.003990, 3.891950, -1.059460, -0.938480, 0.104510, 3.000000,3.1,0.001,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-17,1692302400,16.0,0.49917, 0.003690, 3.903950, -1.484150, 1.027620, 0.109090, 15.000000, 44.970000, 23 x 7, 41.700000, 42.100000,4585.0, 41.100000, 41.500000, 7 x 32, 43.100000, -0.505840, 0.004030, 3.892310, -1.035240, -0.966930, 0.103480, 5.000000,8.1,0.002,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-17,1692302400,16.0,0.48042, 0.003730, 3.899150, -1.475300, 0.989260, 0.109510, 1.000000, 38.220000, 13 x 13, 39.300000, 39.700000,4590.0, 43.300000, 43.800000, 7 x 31, 43.500000, -0.526590, 0.004110, 3.881890, -1.014980, -0.995710, 0.101940, 2.000000,13.1,0.003,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-17,1692302400,16.0,0.46128, 0.003730, 3.886340, -1.446790, 0.950250, 0.107600, 2.000000, 42.830000, 33 x 7, 36.400000, 36.900000,4595.0, 45.800000, 46.200000, 7 x 29, 44.500000, -0.547240, 0.004160, 3.861160, -0.994160, -1.023120, 0.101230, 11.000000,18.1,0.004,1M
1690920000, 2023-08-01 16:00, 2023-08-01,16.0,4576.94, 2023-08-18,1692388800,17.0,0.53605, 0.003550, 4.001630, -1.471380, 1.168890, 0.110650, 10.000000, 49.600000, 81 x 172, 48.600000, 49.400000,4575.0, 37.300000, 37.800000, 225 x 150, 37.570000, -0.465770, 0.003850, 3.993700, -1.013920, -0.956460, 0.103890, 212.000000,1.9,0.0,1M
