QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.54687,0.00252,3.04211,-1.94677,0.80698, 0.203060, 2.000000,61.6, 2 x 1,69.0,70.81,3685.0,54.39,55.1, 10 x 10,61.38,-0.4538,0.00252,3.0426,-2.03477,-0.74614, 0.201910, 8.000000,16.4,0.004,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.53391,0.00265,3.05146,-1.88371,0.79184, 0.196520, 61.000000,62.32, 1 x 36,64.8,65.41,3690.0,56.5,57.6, 4 x 4,64.56,-0.46631,0.00252,3.05188,-2.03957,-0.76749, 0.202420, 56.000000,11.4,0.003,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.52105,0.00268,3.05853,-1.87173,0.77494, 0.194870, 1.000000,88.78, 1 x 48,61.7,62.29,3695.0,58.0,58.6, 1 x 10,54.88,-0.47951,0.00266,3.05915,-2.00686,-0.7891, 0.197890, 33.000000,6.4,0.002,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.50805,0.0027,3.06248,-1.87428,0.75728, 0.194540, 237.000000,59.29, 1 x 35,59.2,59.69,3700.0,59.79,60.39, 1 x 10,56.68,-0.49217,0.00264,3.0626,-1.9878,-0.8104, 0.196050, 55.000000,1.4,0.0,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.49393,0.00271,3.0622,-1.82859,0.73956, 0.189430, 10.000000,59.38, 11 x 47,55.3,55.91,3705.0,61.59,62.4, 5 x 18,61.88,-0.50575,0.00273,3.06308,-1.96659,-0.83256, 0.193220, 10.000000,3.6,0.001,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.47969,0.00275,3.0593,-1.80948,0.71991, 0.187890, 49.000000,55.78, 1 x 40,52.4,52.89,3710.0,63.9,64.7, 1 x 19,38.69,-0.51962,0.00266,3.05918,-1.95443,-0.85547, 0.192070, 1.000000,8.6,0.002,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.46607,0.00278,3.05254,-1.8066,0.70118, 0.187760, 11.000000,52.73, 5 x 50,50.11,50.7,3715.0,65.79,66.91, 5 x 4,62.72,-0.53285,0.0027,3.05203,-1.93068,-0.87838, 0.190690, 21.000000,13.6,0.004,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-19,1611090000,15.0,0.45111,0.00281,3.04063,-1.76772,0.68076, 0.184090, 40.000000,46.59, 1 x 37,46.9,47.4,3720.0,67.91,69.0, 1 x 4,75.85,-0.54711,0.00275,3.04114,-1.90329,-0.90258, 0.188200, 14.000000,18.6,0.005,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.54619,0.00243,3.13793,-1.90156,0.85663, 0.204810, 3.000000,90.32, 15 x 52,71.9,72.5,3685.0,58.01,58.49, 8 x 1,67.4,-0.45432,0.00243,3.13837,-2.01689,-0.79763, 0.207960, 19.000000,16.4,0.004,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.53353,0.00247,3.148,-1.8784,0.8406, 0.201010, 13.000000,57.07, 17 x 37,68.3,68.91,3690.0,60.1,60.69, 1 x 4,60.3,-0.46644,0.0024,3.14847,-2.01553,-0.81824, 0.207220, 22.000000,11.4,0.003,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.52126,0.00247,3.15435,-1.86537,0.82322, 0.199580, 0.000000,83.69, 17 x 37,65.2,65.7,3695.0,60.51,61.01, 1 x 8,64.3,-0.47923,0.00254,3.15427,-1.95798,-0.83889, 0.199960, 18.000000,6.4,0.002,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.50839,0.0026,3.15785,-1.83247,0.80595, 0.195590, 124.000000,57.8, 16 x 36,61.49,62.0,3700.0,63.81,64.59, 1 x 1,60.1,-0.49126,0.00244,3.1578,-1.9895,-0.8615, 0.203400, 41.000000,1.4,0.0,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.49485,0.00262,3.15901,-1.82187,0.788, 0.194300, 2.000000,59.28, 8 x 36,58.7,59.2,3705.0,64.09,64.69, 17 x 16,50.54,-0.50437,0.00259,3.15894,-1.91835,-0.88409, 0.195170, 0.000000,3.6,0.001,1M
1609794000, 2021-01-04 16:00, 2021-01-04,16.0,3701.38, 2021-01-20,1611176400,16.0,0.48232,0.00266,3.15606,-1.79383,0.76828, 0.191790, 16.000000,55.0, 9 x 49,55.41,56.01,3710.0,67.8,68.3, 1 x 1,68.15,-0.51661,0.0025,3.15596,-1.94787,-0.9072, 0.198870, 9.000000,8.6,0.002,1M
