QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.54396,0.00155,3.41318,-3.08009,0.87359, 0.297070, ,0.0, 8 x 8,111.4,112.6,4130.0,88.3,89.3, 10 x 10,0.0,-0.45552,0.00155,3.41412,-3.33351,-0.85272, 0.287350, ,25.6,0.006,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.52779,0.00157,3.42512,-3.06589,0.85257, 0.293710, ,0.0, 8 x 8,105.2,106.6,4140.0,92.2,93.3, 8 x 18,0.0,-0.47179,0.00163,3.42582,-3.32261,-0.88343, 0.283950, ,15.6,0.004,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.51222,0.00162,3.43285,-3.05213,0.83105, 0.291820, ,0.0, 8 x 8,99.5,100.7,4150.0,96.1,97.4, 8 x 8,0.0,-0.48815,0.00162,3.43335,-3.301,-0.91435, 0.281300, ,5.6,0.001,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.4961,0.00157,3.43415,-3.02939,0.80912, 0.288480, ,0.0, 10 x 8,93.9,94.9,4160.0,100.6,101.7, 18 x 8,0.0,-0.50511,0.00165,3.43443,-3.28232,-0.94606, 0.278950, ,4.4,0.001,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.47935,0.00165,3.42989,-2.99824,0.78587, 0.285670, 1.000000,92.54, 9 x 9,88.1,89.4,4170.0,104.8,105.9, 7 x 7,0.0,-0.5216,0.00166,3.42916,-3.24597,-0.97854, 0.275290, ,14.4,0.003,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-17,1652817600,15.0,0.46261,0.00167,3.41998,-2.96389,0.76204, 0.283310, ,0.0, 9 x 9,82.7,84.0,4180.0,109.7,111.1, 10 x 10,0.0,-0.53843,0.00162,3.41734,-3.22645,-1.01078, 0.274220, ,24.4,0.006,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-18,1652904000,16.0,0.54964,0.00148,3.51292,-2.9721,0.93169, 0.298280, 3.000000,81.96, 8 x 8,117.4,118.4,4125.0,90.1,91.0, 9 x 9,112.15,-0.44936,0.00157,3.51365,-3.26066,-0.89729, 0.288890, 4.000000,30.6,0.007,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-18,1652904000,16.0,0.54182,0.00156,3.52101,-2.96739,0.92236, 0.296990, 1.000000,113.9, 8 x 8,114.3,115.3,4130.0,92.1,93.0, 16 x 18,0.0,-0.45771,0.00158,3.52192,-3.25871,-0.91257, 0.288110, ,25.6,0.006,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-18,1652904000,16.0,0.53457,0.0015,3.52766,-2.96159,0.9119, 0.295760, 1.000000,77.0, 8 x 8,111.2,112.3,4135.0,94.0,94.9, 8 x 16,107.7,-0.46549,0.00158,3.52829,-3.25182,-0.92816, 0.286180, 1.000000,20.6,0.005,1M
1651521600, 2022-05-02 16:00, 2022-05-02,16.0,4155.6, 2022-05-18,1652904000,16.0,0.52649,0.00149,3.53253,-2.94779,0.90123, 0.294120, ,0.0, 8 x 8,108.1,109.0,4140.0,96.0,97.0, 7 x 16,86.86,-0.47285,0.00158,3.53304,-3.24697,-0.94392, 0.285410, 11.000000,15.6,0.004,1M
