QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-17,1637182800,16.04,0.53348, 0.003370, 3.919900, -1.288480, 1.022660, 0.122190, 126.000000, 47.940000, 8 x 8, 52.100000, 52.700000,4600.0, 41.400000, 42.900000, 4 x 18, 44.200000, -0.467860, 0.003460, 3.926530, -1.544260, -1.009440, 0.116740, 15.000000,13.4,0.003,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-17,1637182800,16.04,0.51697, 0.003420, 3.930790, -1.274890, 0.997050, 0.120950, 147.000000, 46.790000, 8 x 8, 48.900000, 49.300000,4605.0, 42.700000, 44.400000, 4 x 3, 48.750000, -0.484330, 0.003530, 3.936450, -1.521790, -1.046160, 0.114290, 17.000000,8.4,0.002,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-17,1637182800,16.04,0.50026, 0.003480, 3.934900, -1.258000, 0.968950, 0.118340, 69.000000, 41.830000, 4 x 67, 45.000000, 46.700000,4610.0, 44.900000, 46.500000, 4 x 3, 49.720000, -0.502020, 0.003590, 3.938710, -1.518070, -1.085660, 0.113510, 16.000000,3.4,0.001,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-17,1637182800,16.04,0.4821, 0.003490, 3.931210, -1.243060, 0.939700, 0.117300, 10.000000, 39.960000, 4 x 61, 42.000000, 43.600000,4615.0, 46.500000, 48.100000, 4 x 3, 55.200000, -0.521210, 0.003660, 3.933560, -1.491880, -1.125230, 0.110380, 6.000000,1.6,0.0,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-17,1637182800,16.04,0.4643, 0.003500, 3.920150, -1.222510, 0.909080, 0.115390, 19.000000, 37.940000, 4 x 3, 39.000000, 40.600000,4620.0, 49.300000, 49.900000, 8 x 8, 53.170000, -0.539180, 0.003610, 3.919310, -1.481810, -1.165390, 0.109640, 13.000000,6.6,0.001,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-19,1637355600,18.04,0.5464, 0.003120, 4.132770, -1.228510, 1.161450, 0.125430, 7.000000, 54.400000, 67 x 45, 58.300000, 58.800000,4595.0, 43.800000, 44.400000, 71 x 213, 45.900000, -0.455050, 0.003160, 4.140890, -1.492430, -1.101890, 0.119740, 93.000000,18.4,0.004,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-19,1637355600,18.04,0.5308, 0.003090, 4.148470, -1.226450, 1.136140, 0.124130, , 55.100000, 57 x 45, 55.200000, 55.800000,4600.0, 45.400000, 46.000000, 52 x 127, 47.420000, -0.470940, 0.003240, 4.155810, -1.481560, -1.139920, 0.118070, ,13.4,0.003,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-19,1637355600,18.04,0.51526, 0.003130, 4.158380, -1.214300, 1.107860, 0.121800, 124.000000, 47.230000, 67 x 181, 51.900000, 52.500000,4605.0, 46.800000, 47.300000, 112 x 45, 51.280000, -0.487250, 0.003260, 4.164480, -1.461090, -1.178500, 0.115260, 324.000000,8.4,0.002,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-19,1637355600,18.04,0.49908, 0.003200, 4.161990, -1.210160, 1.079380, 0.121490, 181.000000, 48.800000, 126 x 165, 49.000000, 49.700000,4610.0, 49.000000, 49.600000, 45 x 134, 51.100000, -0.503860, 0.003350, 4.166390, -1.459610, -1.219010, 0.114640, 56.000000,3.4,0.001,1M
1635796800, 2021-11-01 16:00, 2021-11-01,16.0,4613.44, 2021-11-19,1637355600,18.04,0.48281, 0.003210, 4.158440, -1.194120, 1.049410, 0.119920, 28.000000, 40.950000, 50 x 152, 46.000000, 46.500000,4615.0, 50.700000, 51.200000, 45 x 138, 58.400000, -0.520120, 0.003410, 4.161200, -1.436810, -1.260590, 0.112320, 44.000000,1.6,0.0,1M
