QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-16,1660680000,15.0,0.53814,0.00247,3.39237,-2.14825,0.92486, 0.184840, 16.000000,83.6, 8 x 8,69.0,69.5,4110.0,59.5,59.9, 8 x 8,53.63,-0.46346,0.00242,3.39391,-2.00441,-0.80961, 0.193010, 1.000000,8.5,0.002,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-16,1660680000,15.0,0.5129,0.00251,3.40604,-2.13176,0.88249, 0.183450, 8.000000,75.0, 8 x 8,63.3,63.8,4120.0,63.8,64.3, 8 x 8,0.0,-0.48755,0.00247,3.40577,-1.98971,-0.84871, 0.190890, ,1.5,0.0,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-16,1660680000,15.0,0.49988,0.00258,3.4085,-2.11871,0.86174, 0.182310, 15.000000,62.7, 8 x 8,60.5,61.0,4125.0,66.0,66.8, 4 x 4,0.0,-0.50046,0.0025,3.40757,-1.98073,-0.86726, 0.190840, ,6.5,0.002,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-16,1660680000,15.0,0.48773,0.0026,3.40617,-2.10731,0.84, 0.181920, ,0.0, 8 x 8,57.9,58.4,4130.0,68.3,68.8, 8 x 8,0.0,-0.51284,0.00245,3.40611,-1.96113,-0.8866, 0.188630, ,11.5,0.003,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-16,1660680000,15.0,0.46156,0.00263,3.3923,-2.07505,0.79549, 0.179570, 1.000000,61.68, 8 x 8,52.8,53.2,4140.0,73.2,73.7, 8 x 8,0.0,-0.53815,0.00253,3.39231,-1.93241,-0.92355, 0.187680, ,21.5,0.005,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-17,1660766400,16.0,0.54822,0.00235,3.48877,-2.09345,0.99959, 0.188440, ,0.0, 4 x 4,74.4,75.1,4105.0,60.6,61.1, 8 x 8,0.0,-0.45368,0.00225,3.4908,-1.99057,-0.84787, 0.196100, ,13.5,0.003,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-17,1660766400,16.0,0.53605,0.00237,3.49935,-2.09145,0.97848, 0.187460, 16.000000,68.8, 4 x 4,71.5,72.3,4110.0,62.6,63.2, 12 x 8,64.45,-0.46515,0.00229,3.50126,-1.9846,-0.86702, 0.195740, 16.000000,8.5,0.002,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-17,1660766400,16.0,0.52374,0.00242,3.50728,-2.08476,0.95736, 0.187280, 10.000000,67.6, 8 x 8,68.8,69.3,4115.0,64.7,65.4, 4 x 4,66.2,-0.4763,0.00228,3.50791,-1.97726,-0.88668, 0.194400, 1.000000,3.5,0.001,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-17,1660766400,16.0,0.51199,0.00244,3.51286,-2.08082,0.93573, 0.186110, 1.000000,62.88, 8 x 12,66.1,66.6,4120.0,66.9,67.5, 8 x 8,64.2,-0.4887,0.00236,3.51255,-1.96844,-0.907, 0.194000, 22.000000,1.5,0.0,1M
1659384000, 2022-08-01 16:00, 2022-08-01,16.0,4118.53, 2022-08-17,1660766400,16.0,0.49958,0.00246,3.51462,-2.0683,0.91357, 0.184880, 5.000000,67.65, 15 x 2,63.0,64.1,4125.0,69.1,69.8, 4 x 4,68.3,-0.50005,0.00236,3.51387,-1.95875,-0.92576, 0.192960, 1.000000,6.5,0.002,1M
