QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.54128,0.00252,3.17036,-2.22312,0.86783, 0.201150, 5.000000,78.9, 7 x 7,70.6,71.1,3845.0,60.7,61.4, 10 x 10,0.0,-0.46072,0.00239,3.17216,-2.02396,-0.74934, 0.211660, ,8.4,0.002,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.52944,0.00252,3.17883,-2.22063,0.84922, 0.200000, 20.000000,78.9, 14 x 7,67.9,68.4,3850.0,63.2,63.8, 14 x 17,56.7,-0.47251,0.0024,3.17996,-2.02719,-0.7663, 0.212160, 1.000000,3.4,0.001,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.51672,0.00246,3.18451,-2.21542,0.82956, 0.199810, ,0.0, 7 x 11,65.2,65.6,3855.0,65.5,66.0, 7 x 7,64.1,-0.48413,0.00239,3.18451,-2.01965,-0.78297, 0.210910, 1.000000,1.6,0.0,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.50437,0.00256,3.18803,-2.20859,0.81026, 0.199670, 21.000000,73.2, 7 x 7,62.6,63.0,3860.0,67.6,68.3, 9 x 9,91.03,-0.49643,0.00236,3.18622,-2.0073,-0.79984, 0.210120, 5.000000,6.6,0.002,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.49153,0.00246,3.1876,-2.19884,0.79018, 0.198700, 1.000000,73.14, 7 x 7,60.0,60.5,3865.0,70.3,71.0, 9 x 9,0.0,-0.50863,0.00242,3.18573,-2.00566,-0.81662, 0.211120, ,11.6,0.003,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.4791,0.00245,3.18349,-2.19628,0.77054, 0.199260, 1.000000,65.42, 12 x 11,57.8,58.2,3870.0,70.8,71.4, 7 x 7,89.53,-0.52124,0.00245,3.18186,-1.92875,-0.83342, 0.203610, 15.000000,16.6,0.004,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.46691,0.00253,3.17696,-2.18239,0.75068, 0.198340, 4.000000,47.9, 12 x 12,55.3,55.8,3875.0,73.1,73.7, 7 x 7,86.68,-0.53388,0.00245,3.17419,-1.90634,-0.85018, 0.202880, 1.000000,21.6,0.006,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-19,1674162000,15.0,0.45436,0.00246,3.16749,-2.16539,0.73063, 0.198100, 7.000000,64.2, 12 x 12,52.9,53.4,3880.0,77.4,78.9, 2 x 2,101.4,-0.54487,0.00236,3.16628,-1.96095,-0.86534, 0.209010, 2.000000,26.6,0.007,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-20,1674248400,16.0,0.54196,0.00247,3.26889,-2.1248,0.9234, 0.197880, 2.000000,69.2, 90 x 45,71.6,72.2,3845.0,61.7,62.2, 45 x 45,67.3,-0.45989,0.00234,3.27097,-1.9239,-0.79533, 0.208630, 6.000000,8.4,0.002,1M
1672866000, 2023-01-04 16:00, 2023-01-04,16.0,3853.39, 2023-01-20,1674248400,16.0,0.53002,0.00243,3.27849,-2.13755,0.90272, 0.198400, 939.000000,67.24, 45 x 1,69.4,70.0,3850.0,63.9,64.4, 45 x 131,65.36,-0.4724,0.00236,3.27869,-1.9185,-0.81319, 0.208230, 88.000000,3.4,0.001,1M
